Source_ID,Source_Name,Source_Type,Short_Desc,GEOID,FIPS_Code,Long,Lat,zoneID,County,City,Region
2705300778,Styrotech Inc,Permitted facility,Imitation stack for EU000 (default for SCC 'XXXXXXXX'),270530268123.0,53.0,-93.383069,45.115521,27053,HENNEPIN,Brooklyn Park,Metro (7 County)
2705300780,Manheim - Minneapolis Auto Auction,Permitted facility,Imitation stack for EU001,270530267104.0,53.0,-93.404039,45.100208,27053,HENNEPIN,Maple Grove,Metro (7 County)
2705300780,Manheim - Minneapolis Auto Auction,Permitted facility,Imitation stack for EU002,270530267104.0,53.0,-93.404039,45.100208,27053,HENNEPIN,Maple Grove,Metro (7 County)
2705300790,NRG Riverside Plant,Permitted facility,Imitation stack for EU007,270531048005.0,53.0,-93.237035,44.965926,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300790,NRG Riverside Plant,Permitted facility,Imitation stack for EU012,270531048005.0,53.0,-93.237035,44.965926,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300790,NRG Riverside Plant,Permitted facility,Imitation stack for EU024,270531048005.0,53.0,-93.237035,44.965926,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300792,LeJeune Steel Co,Permitted facility,Imitation stack for EU001,270530120036.0,53.0,-93.280141,44.894166,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300792,LeJeune Steel Co,Permitted facility,Imitation stack for EU002,270530120036.0,53.0,-93.280141,44.894166,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300796,Aaron Carlson Corp,Permitted facility,Imitation stack for EU001,270531026001.0,53.0,-93.245488,45.003143,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300796,Aaron Carlson Corp,Permitted facility,Imitation stack for EU002,270531026001.0,53.0,-93.245488,45.003143,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300796,Aaron Carlson Corp,Permitted facility,Imitation stack for EU003,270531026001.0,53.0,-93.245488,45.003143,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300796,Aaron Carlson Corp,Permitted facility,Imitation stack for EU004,270531026001.0,53.0,-93.245488,45.003143,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300800,Graco - Riverside,Permitted facility,Imitation stack for EU001,270531030001.0,53.0,-93.270999,44.996445,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300800,Graco - Riverside,Permitted facility,Imitation stack for EU003,270531030001.0,53.0,-93.270999,44.996445,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300800,Graco - Riverside,Permitted facility,Imitation stack for EU004 (default for SCC '20200102'),270531030001.0,53.0,-93.270999,44.996445,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300800,Graco - Riverside,Permitted facility,Imitation stack for EU005 (default for SCC '10201002'),270531030001.0,53.0,-93.270999,44.996445,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300801,Honeywell-Plymouth Operations,Permitted facility,Imitation stack for EU001,270530265072.0,53.0,-93.432784,44.988325,27053,HENNEPIN,Plymouth,Metro (7 County)
2705300801,Honeywell-Plymouth Operations,Permitted facility,Imitation stack for EU002,270530265072.0,53.0,-93.432784,44.988325,27053,HENNEPIN,Plymouth,Metro (7 County)
2705300801,Honeywell-Plymouth Operations,Permitted facility,Imitation stack for EU003,270530265072.0,53.0,-93.432784,44.988325,27053,HENNEPIN,Plymouth,Metro (7 County)
2705300801,Honeywell-Plymouth Operations,Permitted facility,Imitation stack for EU004,270530265072.0,53.0,-93.432784,44.988325,27053,HENNEPIN,Plymouth,Metro (7 County)
2705300801,Honeywell-Plymouth Operations,Permitted facility,Imitation stack for EU005,270530265072.0,53.0,-93.432784,44.988325,27053,HENNEPIN,Plymouth,Metro (7 County)
2705300801,Honeywell-Plymouth Operations,Permitted facility,Imitation stack for EU006 (default for SCC '20200401'),270530265072.0,53.0,-93.432784,44.988325,27053,HENNEPIN,Plymouth,Metro (7 County)
2705300801,Honeywell-Plymouth Operations,Permitted facility,Imitation stack for EU007 (default for SCC '31306531'),270530265072.0,53.0,-93.432784,44.988325,27053,HENNEPIN,Plymouth,Metro (7 County)
2705300802,Nestle' HealthCare Nutrition Inc Mfg,Permitted facility,Imitation stack for EU001,270530227001.0,53.0,-93.345441,44.961469,27053,HENNEPIN,St. Louis Park,Metro (7 County)
2705300802,Nestle' HealthCare Nutrition Inc Mfg,Permitted facility,Imitation stack for EU002,270530227001.0,53.0,-93.345441,44.961469,27053,HENNEPIN,St. Louis Park,Metro (7 County)
2705300802,Nestle' HealthCare Nutrition Inc Mfg,Permitted facility,Imitation stack for EU003,270530227001.0,53.0,-93.345441,44.961469,27053,HENNEPIN,St. Louis Park,Metro (7 County)
