"COPC Name","CAS #","MW [g/mole]","Tm [K]","Vp [atm]","S [mg/L]","H [atm*m^3/mol]","Da [cm^2/s]","Dw [cm^2/s]","Kow","Koc [mL/g]","Kds [cm^3/g]","Kdsw [L/kg]","Kdbs [cm^3/g]","Ksg [1/year]","Fv","RCF","Br root veg","Br leafy veg","Br forage","Bv leafy veg","Bv forage","Ba milk [day/kg FW]","Ba beef [day/kg FW]","Ba pork [day/kg FW]","BCF egg","BCF chicken","BCF Fish [L/kg FW tissue]","BAF fish [L/kg FW]","BSAF fish","RfD [mg/kg/day]","RfD Information Source","Oral CSF [mg/kg/day]-1","CSF Information Source","RFC [mg/m^3]","Inhalation URF [1/(µg/m^3)]","Inhalation CSF [1/(mg/kg/day/)]","Chemical type","Chemical Subtype","Br Grain","Ba egg","Ba chicken","Inhalation RFD","TEF","FACTIVE"
"Dibenzo(AH)Pyrene","189-64-0",302.38,489.15,8.44e-15,0.000554,1.41e-08,0.0422,4.93e-06,19054607.18,2080000,20800,"156000","83200",0.48,0.0011,93682.10653,4.503947429,0.002399717,0.002399717,224587937,224587937,0.00384431,0.018260472,0.022104782,10.7,NA,26693.16064,133000,NA,NA,NA,1.5,"MDH",NA,0.0016,NA,NA,"PAH",0.0132,0.0158,0.0277,NA,NA,TRUE
"Dibenzo(AI)Pyrene","189-55-9",302.38,489.15,8.4e-15,0.000554,1.41e-08,0.0422,4.93e-06,19054607.18,2080000,20800,"156000","83200",0.48,0.0011,93682.10653,4.503947429,0.002399717,0.002399717,224587937,224587937,0.00384431,0.018260472,0.022104782,10.7,NA,26693.16064,133000,NA,NA,NA,1,"MDH",NA,0.054,NA,NA,"PAH",0.0132,0.0158,0.0277,NA,NA,TRUE
"Dibenzo(AJ)Acridine","224-42-0",279.34,468.15,1e-12,0.016,1.9e-09,0.0445,5.2e-06,467735.1413,93900,939,"7042.5","3756",0.48,0.0748,5394.5677,5.745013525,0.020452199,0.020452199,32151551.69,32151551.69,0.008437599,0.040078596,0.048516195,10.7,NA,4633.402194,133000,NA,NA,NA,0.17,"MDH",NA,0.00018,NA,"O","PAH",0.0132,0.0158,0.0277,NA,NA,TRUE
"Dibenzo(AL)Pyrene","191-30-0",302.28,498.15,9.3e-14,0.00024,1.41e-08,0.0422,4.93e-06,19054607.18,4910000,49100,"368250","196400",0.48,0.012,93682.10653,1.907985876,0.002399717,0.002399717,224587937,224587937,0.00384431,0.018260472,0.022104782,10.7,NA,26693.16064,133000,NA,NA,NA,51,"MDH",NA,0.054,NA,NA,"PAH",0.0132,0.0158,0.0277,NA,NA,TRUE
"Dibenzo(CG)Carbazole","194-59-2",267.33,470.51,4.45e-12,0.005027,8.24e-10,0.0458,5.35e-06,380000,358000,160000,"26850","14320",0.48,0.935,9680,0.0605,0.0132,0.0132,0.00747,0.00747,0.0198,0.0628,0.0455,10.7,NA,7760,133000,NA,NA,NA,NA,NA,NA,0.0018,NA,"O","PAH",0.0132,0.0158,0.0277,NA,NA,NA
"Dibenzofuran","132-64-9",168.19,359.5,3.26e-06,3.1,0.000177,0.0624,7.22e-06,13182.56739,11226.38676,112.2638676,"841.9790073","449.0554705",NA,0.999817518,345.5068386,3.077631707,0.160931107,0.160931107,7.718794202,7.718794202,0.00589,0.028,0.0339,NA,NA,296.7563359,471.9316307,NA,0.001,"PPRTV",NA,NA,NA,NA,NA,"O","F",0.160931107,0.0118,0.0206,NA,NA,TRUE
"Dibutyl Phthalate","84-74-2",278.35,280,2.62e-08,2.351,1.22e-06,0.0214,5.33e-06,40700,1920,NA,"143.925","76.76",NA,0.9611,NA,NA,NA,NA,0.0945,0.0945,0.00025,0.000791,NA,NA,NA,167,NA,NA,0.1,"IRIS",NA,NA,NA,NA,NA,NA,"PH",NA,NA,NA,NA,NA,NA
"Dichlorobenzenes","25321-22-6",147,326,0.00194,80,0.00355,0.0682,7.9e-06,1910,1680,16.8,"126","67.1",3.37,1,77.9,4.65,0.492,0.492,0.049,0.049,0.00307,0.0146,0.0176,NA,NA,66.9,NA,NA,0.07,"ATSDR Final (1,4 dichlorobenzene)",0.0054,"Cal EPA( 1,4 dichlorobenzene)",0.8,1.1e-05,NA,"O",NA,0.492,0.00613,0.0107,NA,NA,TRUE
"Dichlorobiphenyl 4,4'-","2050-68-2",223.1,355.47,5.62e-08,1.132,0.000227,0.0254,6.56e-06,112000,13200,NA,NA,NA,NA,1,NA,NA,NA,NA,0.0193,0.0193,0.00387,0.0122,NA,NA,NA,8140,70900,NA,NA,NA,0.07,"surrogate (PCBs)",NA,2e-05,NA,NA,"PCB",NA,NA,NA,NA,NA,NA
"Dichloroethane 1,1-","75-34-3",99,176,0.303,5100,0.0056,0.0742,1.05e-05,63.1,53.4,0.06,"4.01","2.14",1.64,1,12,189,3.53,3.53,0.000825,0.000825,0.000444,0.00211,0.00255,0.000493,NA,4.85,NA,NA,0.2,"PPRTV",0.0057,"Cal EPA",NA,1.6e-06,NA,"O",NA,3.53,0.000888,0.00155,NA,NA,TRUE
"Dichloroethane, 1,2- (Ethylene Dichloride)","107-06-2",99,237,0.104,8500,0.00098,0.104,9.9e-06,31.6,38,0.035,"2.85","1.52",1.41,1,9.63,275,5.26,5.26,0.00226,0.00226,0.000266,0.00126,0.00153,0.00023,NA,2.85,NA,NA,0.006,"PPRTV",0.091,"IRIS",0.4,2.6e-05,NA,"O",NA,5.26,0.000531,0.00093,NA,NA,TRUE
"Dichloroethylene 1,1-","75-35-4",99,153,0.789,2300,0.026,0.09,1.04e-05,126,65,0.12,"4.88","2.6",1.41,1,9.62,80.1,2.37,2.37,0.000371,0.000371,0.000712,0.00338,0.00409,0.00105,NA,8.26,NA,NA,0.05,"IRIS",NA,NA,0.2,NA,NA,"O",NA,2.37,0.00142,0.00249,NA,NA,TRUE
"Dichloroethylene, cis-1,2-","156-59-2",96.94,193.15,0.263,3500,0.0041,0.001,1e-05,79.43282347,38.28,0.071,"2.87","1.53",NA,1,13.1,184,3.09,3.09,0.00144,0.00144,0.000521999,0.002479497,0.003001496,0.000762555,NA,5.79,NA,NA,0.002,"IRIS",NA,NA,NA,NA,NA,"O",NA,3.09,0.001043999,0.001826998,NA,NA,TRUE
"Dichlorophenoxyacetic acid 2,4- (2,4-D)","94-75-7",221,414,1.09e-07,677,3.56e-08,0.052,6.02e-06,646,579,5.79,"43.4","23.2",5.06,0.995,33.9,5.85,0.92,0.92,1540,1540,NA,NA,NA,NA,NA,NA,NA,NA,0.01,"IRIS",NA,NA,NA,NA,NA,"O","Ionizing",NA,NA,NA,NA,NA,TRUE
"Dichloropropane, 1,2-","78-87-5",113,203,0.0684,2800,0.0028,0.0782,8.73e-06,100,47,0.09,"3.53","1.88",0.2,1,8.05,92.6,2.7,2.7,0.00269,0.00269,0.000611,0.0029,0.00351,0.00141,NA,6.92,NA,NA,0.09,"ATSDR Final",0.036,"Cal EPA",0.004,NA,NA,"O",NA,2.7,0.00122,0.00214,NA,NA,TRUE
"Dichloropropene,13C","10061-01-5",111,225,0.0447,2800,0.018,0.0626,1e-05,39.8,27.1,0.091,"2.03","1.08",22.4,1,10.3,113,4.61,4.6,0.000157,0.000157,0.000317,0.0015,0.00182,0.000445,NA,3.4,NA,NA,0.03,"IRIS",0.1,"IRIS",0.02,4e-06,NA,"O",NA,4.6,0.000633,0.00111,NA,NA,TRUE
"Dichloropropene, 1,3-","542-75-6",111,225,0.0447,2800,0.018,0.0626,1e-05,39.8,27.1,0.091,"2.03","1.08",22.4,1,10.3,113,4.61,4.6,0.000157,0.000157,0.000317,0.0015,0.00182,0.000445,NA,3.4,NA,NA,0.03,"IRIS",0.1,"IRIS",0.02,4e-06,NA,"O",NA,4.6,0.000633,0.00111,NA,NA,TRUE
"Diethanolamine","111-42-2",105,301,3.68e-07,1e+06,3.87e-11,0.0853,9.88e-06,0.0372,0.0393,0.000393,"0.00295","0.00157",14.9,0.998,6.39,16300,260,260,43.3,43.3,1.91e-06,9.07e-06,1.1e-05,NA,NA,3.16,NA,NA,0.02,"PPRTV",NA,NA,0.003,NA,NA,"O",NA,260,3.82e-06,6.68e-06,NA,NA,TRUE
"Diethyl Sulfate","64-67-5",154.185,249.15,0.000278992,7000,6.15e-06,0.0661,7.65e-06,13.80384265,13.2099143,0.132099143,"0.990743573","0.528396572",505.89,0.999997867,8.060993983,61.0223034,8.493369141,8.493369141,0.148925718,0.148925718,0.000136,0.000645,0.000781,NA,NA,1.505913408,NA,NA,NA,NA,1.2,"Estimated for a TRI Document in 1997",NA,NA,NA,"O",NA,8.493369141,0.000272,0.000476,NA,NA,TRUE
"Diethylene Glycol Butyl Ether","112-34-5",162,205,2.88e-05,1e+06,4.67e-09,0.0639,7.4e-06,3.63,3.55,0.0355,"0.267","0.142",14.9,1,6.94,195,18.4,18.4,47.2,47.2,4.08e-05,0.000194,0.000234,NA,NA,3.16,NA,NA,0.03,"PPRTV",NA,NA,1e-04,NA,NA,"O",NA,18.4,8.15e-05,0.000143,NA,NA,TRUE
"Diethylene Glycol Dimethyl Ether","111-96-6",134.18,235.04,0.0039,180000,2.08e-07,NA,NA,0.331,1.933,NA,"0.144975","0.07732",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9203,0.9203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Di(Ethylene Glycol Monobutyl Ether) Phthalate","16672-39-2",366.46,365.28,2.84e-06,1.65,2.96e-10,NA,NA,11500,766,NA,"57.4425","30.636",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diethylene Glycol Monoethyl Ether","111-90-0",134.18,270.95,0.000123,828000,8.63e-10,0.0562,7.97e-06,0.204,1,NA,"0.075","0.04",NA,1,NA,NA,NA,NA,79.2,79.2,2.28e-09,7.21e-09,NA,NA,NA,0.9051,0.9051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diethylene Glycol Monomethyl Ether","111-77-3",120.15,259.4,0.000147,1e+06,NA,NA,NA,0.0661,1,NA,"0.075","0.04",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8951,0.8951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Difluoroethane 1,1- (HFC-152a)","75-37-6",66.05,115.89,5.06,5660,0.387,0.102,1.15e-05,13.5,31.8,NA,"2.3865","1.2728",NA,1,NA,NA,NA,NA,14.1,14.1,4.44e-08,1.41e-07,NA,NA,NA,1.396,1.396,NA,40,"IRIS",NA,NA,NA,NA,NA,NA,"HFC",NA,NA,NA,NA,NA,NA
"Difluoromethane (HFC-32)","75-10-5",52.02,114.36,9.94,16600,0.292,NA,NA,5.13,21.7,NA,"1.62975","0.8692",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.026,1.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HFC",NA,NA,NA,NA,NA,NA
"Dimethoxyethane 1,2-","110-71-4",90.12,191.69,0.104,188000,1.34e-05,NA,NA,0.617,2.38,NA,"0.1782","0.09504",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9355,0.9355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dimethyl Carbamoyl Chloride N,N-","79-44-7",107.54,258.13,0.00236,459000,7.23e-07,0.0773,1.01e-05,0.191,1,NA,"0.075","0.04",NA,1,NA,NA,NA,NA,101,101,1.51e-09,4.76e-09,NA,NA,NA,0.9038,0.9038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dimethyl Phthalate","131-11-3",194,274,2.17e-06,4000,1.05e-07,0.0568,6.29e-06,36.3,34.2,0.34,"2.56","1.37",36.1,1,10,29.3,4.86,4.86,24.4,24.4,0.000295,0.0014,0.0017,0.000342,NA,3.17,NA,NA,NA,"HEAST, eliminate",NA,NA,NA,NA,NA,"O","PH",4.86,0.000591,0.00103,NA,NA,TRUE
"Dimethyl Sulfate","77-78-1",126.13,289.12,0.000817,69400,2.6e-06,0.0692,9.9e-06,1.45,8.491,NA,"0.636825","0.33964",NA,1,NA,NA,NA,NA,NA,NA,1.14e-07,3.61e-07,NA,NA,NA,0.9941,0.9941,NA,NA,NA,NA,NA,NA,NA,NA,"O",NA,NA,NA,NA,NA,NA,TRUE
"Dimethylaminoazobenzene","60-11-7",225.3,351.01,4.87e-08,1.46,2.34e-07,0.0513,6e-06,19500,2030,NA,"152.1","81.12",NA,0.326,NA,NA,NA,NA,0.0849,0.0849,3e-04,0.00095,NA,NA,NA,334.5,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dimethylanil","121-69-7",121,276,0.000921,1450,7.7e-05,0.0776,8.98e-06,204,187,1.87,"14","7.47",36.1,1,14,7.48,1.79,1.79,0.21,0.21,0.000967,0.00459,0.00556,NA,NA,12,NA,NA,0.002,"IRIS",NA,NA,NA,NA,NA,"O",NA,1.79,0.00193,0.00338,NA,NA,TRUE
"Dimethylformamide N,N","68-12-2",73.1,213,0.00509,1e+06,3.72e-07,0.109,1.26e-05,0.0977,0.102,0.00102,"0.00763","0.00407",8.43,1,6.39,6280,149,149,0.0126,0.0126,1.91e-06,9.07e-06,1.1e-05,NA,NA,3.16,NA,NA,0.1,"PPRTV",NA,NA,0.03,NA,NA,"O",NA,149,3.82e-06,6.68e-06,NA,NA,TRUE
"Dimethylbenzidine, 3,3'-","119-93-7",244.32,410.65,2.79e-10,60,1.81e-13,0.001,1e-05,64.5654229,60.19,0.6,"4.51","2.4",1.41,0.859,12.1,20,3.48,3.48,26144296,26144296,0.000451259,0.002143481,0.002594741,0.000512898,NA,4.94,NA,NA,NA,NA,11,"PPRTV",NA,4e-05,NA,"O",NA,3.48,0.000902518,0.001579407,NA,NA,TRUE
"Dimethoxybenzidine, 3,3'-","119-90-4",244.3,435.6,9.2e-09,723.9,1.81e-13,0.0486,5.68e-06,120,509,NA,NA,NA,NA,0.99153,NA,NA,NA,NA,3.43,3.43,0.51,1.61e-06,NA,NA,NA,6.458,6.458,NA,NA,NA,1.6,"PPRTV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dinitrophenol, 2,4-","51-28-5",184,386,6.71e-06,2790,4.43e-07,0.0273,9.06e-06,34.7,0.01,1e-04,"0.0008","0.0004",0.96,1,9.87,98700,4.99,4.99,5.51,5.51,1.17e-05,5.56e-05,6.74e-05,0.000262,NA,3.06,NA,NA,0.002,"IRIS",NA,NA,NA,NA,NA,"O","Ionizing",4.99,2.34e-05,4.1e-05,NA,NA,TRUE
"Dinitrotoluene, 2,4-","121-14-2",182,342,1.93e-07,270,9.26e-08,0.203,7.06e-06,95.5,88.4,0.88,"6.63","3.54",1.41,0.999,14.1,15.9,2.78,2.78,77.5,77.5,0.000592,0.00281,0.00341,0.000786,NA,6.68,NA,NA,0.002,"IRIS",0.31,"Cal EPA",NA,8.9e-05,NA,"O",NA,2.78,0.00119,0.00207,NA,NA,TRUE
"Di-n-octylphthalate","117-84-0",391,298,3.42e-09,0.02,6.7e-05,0.001,1e-05,1.26e+08,91700000,1.3e+07,"6880000","3670000",9.03,0.852,401000,0.0308,0.000806,0.000806,353000,353000,0.00164,0.00777,0.00941,17000,NA,2.35,462,NA,0.01,"PPRTV",NA,NA,NA,NA,NA,"O","PH",0.000806,0.00327,0.00573,NA,NA,TRUE
"Dioxane, 1,4-","123-91-1",88.1,285,0.0501,1e+06,4.8e-06,0.229,1.02e-05,0.537,0.54,0.01,"0.04","0.02",1.41,1,6.45,1190,8.38,8.38,0.00601,0.00601,5.57e-06,2.65e-05,3.2e-05,4.29e-06,NA,3.16,NA,NA,0.03,"IRIS",0.1,"IRIS",0.03,5e-06,NA,"O",NA,8.38,1.11e-05,1.95e-05,NA,NA,TRUE
"DIOXN 2378EQ, Unspeciated","E17000407",356,514,5.79e-13,0.000118,2.6e-06,0.0989,8e-06,4370000,2690000,26900,"202000","108000",0.03,0.117,30100,1.12,0.00562,0.00562,239000,239000,0.00605,0.0288,0.0348,0.0471,2.5,25900,NA,0.09,7e-10,"MDH",1400000,"MDH",4e-08,400,NA,"O","D",0.00455,0.011,0.0192,1,NA,TRUE
"Dimethylbenz(a)Anthracene","57-97-6",256,423,2.63e-10,0.061,1.11e-06,0.0471,5.45e-06,631000,503000,5030,"37700","20100",0.7,0.307,6790,1.35,0.0172,0.0172,76000,76000,0.00827,0.0393,0.0476,NA,NA,5830,133000,NA,NA,NA,255,"MDH",NA,NA,NA,"O","PAH",0.0172,0.0165,0.029,NA,NA,TRUE
"Epichlorohydrin (1-Chloro-2,3- epoxypropane)","106-89-8",92.5,216,0.0216,65900,3.04e-05,0.086,9.8e-06,0.617,0.62,0.006,"0.05","0.02",9.03,1,6.47,1040,8.38,8.38,0.0011,0.0011,6.5e-06,3.09e-05,3.74e-05,1.41e-05,NA,3.16,NA,NA,0.006,"PPRTV",0.0099,"IRIS",0.001,1.2e-06,NA,"O",NA,8.38,1.3e-05,2.28e-05,NA,NA,TRUE
"Epoxybutane 1,2-","106-88-7",72.1,123,0.237,95000,NA,0.0929,1.04e-05,7.24,9.91,0.0991,"0.743","0.396",NA,1,7.38,74.4,12.3,12.3,NA,NA,7.75e-05,0.000368,0.000445,NA,NA,3.16,NA,NA,NA,NA,NA,NA,0.02,NA,NA,"O",NA,12.3,0.000155,0.000271,NA,NA,TRUE
"Ethyl Acrylate","140-88-5",100,202,0.0508,15000,0.000339,0.0881,1.02e-05,20.9,19.9,0.199,"1.49","0.794",36.1,1,8.72,43.9,6.68,6.68,0.0042,0.0042,0.000191,0.000909,0.0011,NA,NA,2.07,NA,NA,0.0137,"IRIS",NA,"HEAST, eliminate",NA,NA,NA,"O",NA,6.68,0.000383,0.00067,NA,NA,TRUE
"Ethylbenzene","100-41-4",106,178,0.0126,170,0.0079,0.075,7.8e-06,1260,204,0.73,"15.3","8.16",25.3,1,56.6,77.6,0.625,0.625,0.0142,0.0142,0.00256,0.0121,0.0147,0.0105,NA,48.6,NA,NA,0.1,"IRIS",0.011,"Cal EPA",1,2.5e-06,NA,"O",NA,0.625,0.00511,0.00895,NA,NA,TRUE
"Ethylene Dibromide","106-93-4",188,283,0.0171,4000,0.00074,0.001,1e-05,100,92.5,0.085,"6.94","3.7",1.41,1,8.05,94.8,2.7,2.7,0.0102,0.0102,0.000611,0.0029,0.00351,0.000447,NA,6.92,NA,NA,0.009,"IRIS",2,"IRIS",0.009,0.00022,NA,"O",NA,2.7,0.00122,0.00214,NA,NA,TRUE
"Ethylene Glycol","107-21-1",62.1,260,0.000121,1e+06,7.51e-09,0.121,1.4e-05,0.0437,0.0461,0.000461,"0.00346","0.00184",14.9,1,6.39,13900,237,237,0.265,0.265,1.91e-06,9.07e-06,1.1e-05,NA,NA,3.16,NA,NA,2,"IRIS",NA,NA,0.4,NA,NA,"O",NA,237,3.82e-06,6.68e-06,NA,NA,TRUE
"Ethylene Glycol Monobutyl Ether Acetate","112-07-2",160.21,258.77,0.000703,3103,6.38e-06,NA,NA,37.2,15.08,NA,"1.131","0.6032",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.573,2.573,NA,NA,NA,NA,NA,NA,NA,NA,"O",NA,NA,NA,NA,NA,NA,TRUE
"Ethylene Glycol Monomethyl Ether Acetate","111-15-9",132.158,211.45,0.00307944,247000,1.65e-06,0.0732,8.48e-06,3.89045145,3.804083139,0.038040831,"0.285306235","0.152163326",8.4315,1,6.968928548,183.1960105,17.65956493,17.65956493,0.144174113,0.144174113,4.35e-05,0.000207,0.00025,NA,NA,3.16227766,NA,NA,0.1,"PPRTV",NA,NA,0.3,NA,NA,"O",NA,17.65956493,8.71e-05,0.000152,NA,NA,TRUE
"Ethylene Imine","151-56-4",43.07,214.33,0.303,1e+06,7.33e-06,0.133,1.42e-05,0.525,9.04,NA,"0.678225","0.36172",NA,1,NA,NA,NA,NA,56,56,4.15e-09,1.31e-08,NA,NA,NA,0.9343,0.9343,NA,NA,NA,65,"Cal EPA",NA,0.019,NA,"O",NA,NA,NA,NA,NA,NA,NA
"Ethylene Oxide","75-21-8",44.1,162,1.73,1e+06,0.000148,0.104,1.45e-05,0.501,0.51,0.005,"0.04","0.02",21.3,1,6.44,1270,8.38,8.38,0.000181,0.000181,5.15e-06,2.45e-05,2.96e-05,3.98e-06,NA,3.16,NA,NA,NA,"cannot find this one, eliminate",1.02,"Cal EPA",0.03,8.8e-05,NA,"O",NA,8.38,1.03e-05,1.8e-05,NA,NA,TRUE
"Ethylhexyl Phthalate, Bis-2-   (DEHP)","117-81-7",391,218,8.95e-11,0.34,1e-07,0.0351,3.66e-06,126000,111000,2300000,"8330","4440",11,0.131,1960,0.000854,0.0437,0.0437,151000,151000,0.0084,0.0399,0.0483,1.27,NA,53.3,194,NA,0.02,"IRIS",0.014,"IRIS",NA,2.4e-06,NA,"O","PH",0.0437,0.0168,0.0294,NA,NA,TRUE
"Fluoranthene","206-44-0",202,383,1.03e-08,0.21,1.6e-05,0.001,1e-05,1e+05,49100,11000,"3680","1960",0.57,0.992,1640,0.15,0.0499,0.0499,738,738,0.00826,0.0392,0.0475,0.965,NA,1410,4490,NA,0.04,"IRIS",NA,NA,NA,0.00014,NA,"O","PAH",0.0499,0.0165,0.0289,NA,NA,TRUE
"Fluorene","86-73-7",166,383,8.29e-07,2,6.4e-05,0.001,1e-05,15800,7710,2100,"578","308",4.22,1,398,0.19,0.145,0.145,26,26,0.00616,0.0293,0.0354,0.117,NA,342,472,NA,0.04,"IRIS",NA,NA,NA,NA,NA,"O","PAH",0.145,0.0123,0.0216,NA,NA,TRUE
"Formaldehyde","50-00-0",30,181,6.89,550000,3.36e-07,0.178,1.98e-05,2.24,2.21,0.02,"0.17","0.09",36.1,1,6.74,305,8.38,8.38,0.392,0.392,2.54e-05,0.000121,0.000146,1.75e-05,NA,3.16,NA,NA,0.2,"IRIS",NA,NA,0.009,5e-06,NA,"O",NA,8.38,5.08e-05,8.88e-05,NA,NA,TRUE
"Glycol Ethers, Unspeciated","E651141",76.1,188,0.0125,1e+06,9.51e-07,0.106,1.23e-05,0.17,0.175,0.00175,"0.0131","0.00701",8.43,1,6.39,3650,108,108,0.00889,0.00889,1.91e-06,9.07e-06,1.1e-05,NA,NA,3.16,NA,NA,NA,NA,NA,NA,0.02,NA,NA,"O",NA,108,3.82e-06,6.68e-06,NA,NA,TRUE
"HeptaCDD, 1,2,3,4,6,7,8-","35822-46-9",425,538,7.37e-15,2.4e-06,1.2e-05,0.0905,8e-06,1e+08,61700000,617000,"4620000","2470000",0.03,0.003,336000,0.545,0.00092,0.00092,910000,910000,0.00185,0.00877,0.0106,0.0255,0.39,2750,NA,0.005,7e-08,"MDH",14000,"MDH",4e-06,4,NA,"O","D",0.00092,0.00369,0.00646,0.01,NA,TRUE
"HeptaCDF, 1,2,3,4,6,7,8-","67562-39-4",409,510,4.61e-14,1.35e-06,1.41e-05,0.0203,8e-06,25100000,15500000,155000,"1160000","620000",0.03,0.01,116000,0.748,0.00205,0.00205,830000,830000,0.00346,0.0164,0.0199,0.0209,0.32,18300,NA,0.005,7e-08,"MDH",14000,"MDH",4e-06,4,NA,"O","F",0.00205,0.00692,0.0121,0.01,NA,TRUE
"HeptaCDF, 1,2,3,4,7,8,9-","55673-89-7",409,495,4.04e-13,1.4e-06,1.4e-05,0.0203,8e-06,25100000,15500000,155000,"1160000","620000",0.03,0.057,116000,0.748,0.00205,0.00205,830000,830000,0.00346,0.0164,0.0199,0.0242,0.48,18300,NA,0.005,7e-08,"MDH",14000,"MDH",4e-06,4,NA,"O","F",0.00205,0.00692,0.0121,0.01,NA,TRUE
"Heptachlorobiphenyls, Unspeciated","28655-71-2",326,283,1.01e-07,0.043,0.000283,0.001,1e-05,3160000,2450000,24500,"184000","98100",0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,NA,84100,NA,2,4.5e-05,"average of oral RFD for Aroclor 1254 and Aroclor 1016",42,"MDH, based on most toxic congener",0.0013,0.008571429,NA,"O","PCB",0.01,0.013,0.032,NA,NA,TRUE
"HexaCDD, 1,2,3,4,7,8-","39227-28-6",391,547,5e-14,4.42e-06,1.07e-05,0.0944,8e-06,63100000,38900000,389000,"2920000","1560000",0.03,0.024,236000,0.605,0.0012,0.0012,520000,520000,0.00232,0.011,0.0133,0.0453,1.83,5180,NA,0.04,7e-09,"MDH",140000,"MDH",4e-07,40,NA,"O","D",0.0012,0.00463,0.00811,0.1,NA,TRUE
"HexaCDD, 1,2,3,6,7,8-","57653-85-7",391,559,4.73e-14,4.4e-06,1.1e-05,0.0944,8e-06,2e+07,12300000,123000,"923000","492000",0.03,0.029,97100,0.789,0.00234,0.00233,520000,520000,0.00378,0.018,0.0217,0.037,1.17,25100,NA,0.04,7e-09,"MDH",6200,"MDH",4e-07,40,NA,"O","D",0.00234,0.00756,0.0132,0.1,NA,TRUE
"HexaCDD, 1,2,3,7,8,9-","19408-74-3",391,517,6.45e-14,4.4e-06,1.1e-05,0.0944,8e-06,2e+07,12300000,123000,"923000","492000",0.03,0.016,97100,0.789,0.00234,0.00234,520000,520000,0.00378,0.018,0.0217,0.0233,0.63,25100,NA,0.04,7e-09,"MDH",140000,"MDH",4e-07,40,NA,"O","D",0.00234,0.00756,0.0132,0.1,NA,TRUE
"HexaCDF, 1,2,3,4,7,8-","70648-26-9",375,499,3.16e-13,8.25e-06,1.43e-05,0.0212,8e-06,1e+07,6170000,61700,"462000","247000",0.03,0.049,57000,0.925,0.00348,0.00348,162000,162000,0.0048,0.0228,0.0276,0.0451,1.58,49000,NA,0.04,7e-09,"MDH",140000,"MDH",4e-07,40,NA,"O","F",0.00348,0.0096,0.0168,0.1,NA,TRUE
"HexaCDF, 1,2,3,6,7,8-","57117-44-9",375,506,2.89e-13,1.77e-05,7.31e-06,0.0212,8e-06,1e+07,6170000,61700,"462000","247000",0.03,0.052,57000,0.925,0.00348,0.00348,162000,162000,0.0048,0.0228,0.0276,0.0453,1.62,49000,NA,0.04,7e-09,"MDH",140000,"MDH",4e-07,40,NA,"O","F",0.00348,0.0096,0.0168,0.1,NA,TRUE
"HexaCDF, 1,2,3,7,8,9-","72918-21-9",375,521,3.68e-13,1.3e-05,1.1e-05,0.0212,8e-06,1e+07,6170000,61700,"462000","247000",0.03,0.09,57000,0.925,0.00348,0.00348,162000,162000,0.0048,0.0228,0.0276,NA,NA,49000,NA,0.04,7e-09,"MDH",140000,"MDH",4e-07,40,NA,"O","F",0.00348,0.0096,0.0168,0.1,NA,TRUE
"HexaCDF, 2,3,4,6,7,8-","60851-34-5",375,513,2.63e-13,1.3e-05,1.1e-05,0.0212,8e-06,1e+07,6170000,61700,"462000","247000",0.03,0.055,57000,0.925,0.00348,0.00348,162000,162000,0.0048,0.0228,0.0276,0.0271,0.79,49000,NA,0.04,7e-09,"MDH",140000,"MDH",4e-07,40,NA,"O","F",0.00348,0.0096,0.0168,0.1,NA,TRUE
"Hexachloro-1,3-butadiene (Perchlorobutadiene)","87-68-3",261,252,0.000289,3.2,0.0081,0.0561,6.16e-06,63100,7580,7600,"568","303",1.41,1,1150,0.152,0.065,0.0651,0.893,0.893,0.00789,0.0375,0.0454,0.428,NA,991,2430,NA,0.001,"IRIS",0.078,"PPRTV",NA,2.2e-05,NA,"O",NA,0.065,0.0158,0.0276,NA,NA,TRUE
