SCC Code,Data Category Code,Short Desc,Level 1 Desc,Level 2 Desc,Level 3 Desc,Level 4 Desc,EI Sector
2701483000,BIOGENIC,Biogenic - Tundra/Bare Ground (Anderson Land Use Code 83) - Total,Natural Sources,Biogenic,Tundra/Bare Ground (Anderson Land Use Code 83),Total,Miscellaneous Non-Industrial NEC
2701482000,BIOGENIC,Biogenic - Tundra/Herbaceous Tundra (Anderson Land Use Code 82) - Total,Natural Sources,Biogenic,Tundra/Herbaceous Tundra (Anderson Land Use Code 82),Total,Miscellaneous Non-Industrial NEC
2701485000,BIOGENIC,Biogenic - Tundra/Mixed Tundra (Anderson Land Use Code 85) - Total,Natural Sources,Biogenic,Tundra/Mixed Tundra (Anderson Land Use Code 85),Total,Miscellaneous Non-Industrial NEC
2701481000,BIOGENIC,Biogenic - Tundra/Shrub and Brush Tundra (Anderson Land Use Code 81) - Total,Natural Sources,Biogenic,Tundra/Shrub and Brush Tundra (Anderson Land Use Code 81),Total,Miscellaneous Non-Industrial NEC
2701484000,BIOGENIC,Biogenic - Tundra/Wet Tundra (Anderson Land Use Code 84) - Total,Natural Sources,Biogenic,Tundra/Wet Tundra (Anderson Land Use Code 84),Total,Miscellaneous Non-Industrial NEC
2701405000,BIOGENIC,Biogenic - Unknown Land Use (Anderson Land Use Code 0) - Total,Natural Sources,Biogenic,Unknown Land Use (Anderson Land Use Code 0),Total,Miscellaneous Non-Industrial NEC
2701410000,BIOGENIC,Biogenic - Urban or Built-Up Land - Total,Natural Sources,Biogenic,Urban or Built-Up Land,Total,Miscellaneous Non-Industrial NEC
2701412000,BIOGENIC,Biogenic - Urban or Built-Up Land/Commercial Services (Anderson Land Use Code 12) - Total,Natural Sources,Biogenic,Urban or Built-Up Land/Commercial Services (Anderson Land Use Code 12),Total,Miscellaneous Non-Industrial NEC
2701413000,BIOGENIC,Biogenic - Urban or Built-Up Land/Industrial (Anderson Land Use Code 13) - Total,Natural Sources,Biogenic,Urban or Built-Up Land/Industrial (Anderson Land Use Code 13),Total,Miscellaneous Non-Industrial NEC
2701415000,BIOGENIC,Biogenic - Urban or Built-Up Land/Industrial and Commercial (Anderson LUC 15) - Total,Natural Sources,Biogenic,Urban or Built-Up Land/Industrial and Commercial (Anderson LUC 15),Total,Miscellaneous Non-Industrial NEC
2701416000,BIOGENIC,Biogenic - Urban or Built-Up Land/Mixed Urban or Build-Up Land (Anderson LUC 16) - Total,Natural Sources,Biogenic,Urban or Built-Up Land/Mixed Urban or Build-Up Land (Anderson LUC 16),Total,Miscellaneous Non-Industrial NEC
2701417000,BIOGENIC,Biogenic - Urban or Built-Up Land/Other Urban or Built-Up Land (Anderson LUC 17) - Total,Natural Sources,Biogenic,Urban or Built-Up Land/Other Urban or Built-Up Land (Anderson LUC 17),Total,Miscellaneous Non-Industrial NEC
